City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
10,Saint-Philippe,RE,81.21,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
17,Rikitea,PF,79.09,scattered clouds,-23.1203,-134.9692,People ThankYou
18,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
19,Vao,NC,75.87,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
20,Georgetown,MY,87.75,few clouds,5.4112,100.3354,Cititel Penang
21,Atuona,PF,79.2,few clouds,-9.8,-139.0333,Villa Enata
22,Labuhan,ID,84.65,overcast clouds,-6.8844,112.2051,DoubleFAG
25,Vanimo,PG,76.5,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
30,San Patricio,US,76.86,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
36,Son La,VN,84.13,broken clouds,21.3167,103.9,Galaxy Grand Hotel
37,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
39,Kavaratti,IN,85.17,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
43,Sola,VU,83.16,few clouds,-13.8833,167.55,Leumerus Bungalows
48,Mahebourg,MU,82.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
54,Saint-Leu,RE,81.32,scattered clouds,-21.15,55.2833,La Caz Oceane
55,Namatanai,PG,83.91,light rain,-3.6667,152.4333,Seagulls Inn Namatani
58,Teahupoo,PF,76.96,light rain,-17.8333,-149.2667,Vanira Lodge
61,Yulara,AU,76.84,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
68,Bambous Virieux,MU,82.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
83,Butaritari,KI,81.32,light rain,3.0707,172.7902,Isles Sunset Lodge
85,Lodwar,KE,81.75,light rain,3.1191,35.5973,Solmar Gracious Hotel
90,Bundaberg,AU,83.21,scattered clouds,-24.85,152.35,Takalvan Motel
96,Champerico,GT,82.99,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
116,Faanui,PF,81.25,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
118,Acarau,BR,76.93,few clouds,-2.8856,-40.12,castelo pizzaria
120,Sorong,ID,86.32,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
140,Fayaoue,NC,78.33,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
143,Mecca,SA,86.07,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
144,Anloga,GH,78.24,light rain,5.7947,0.8973,Pin Drop Hotel
145,Angoche,MZ,75.18,broken clouds,-16.2325,39.9086,Guest House HESADA
147,Bowen,AU,76.01,light rain,-20.0167,148.2333,Castle Motor Lodge Motel
148,Tarakan,ID,85.5,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
153,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
154,Alyangula,AU,89.47,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
156,Paciran,ID,84.74,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
157,Kibala,TD,80.55,clear sky,9.1104,18.3463,hotel safari
159,Sabang,ID,83.5,overcast clouds,5.8933,95.3214,Hotel Citra
161,Yola,NG,84.54,overcast clouds,9.2,12.4833,Muna Hotel
