,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Skibbereen,IE,51.55,-9.2667,50.11,83,100,15.41,moderate rain
1,Bredasdorp,ZA,-34.5322,20.0403,59.72,87,46,3.8,scattered clouds
2,Beloha,MG,-25.1667,45.05,73.27,81,94,16.22,overcast clouds
3,Hilo,US,19.7297,-155.09,74.93,76,0,6.91,clear sky
4,Kruisfontein,ZA,-34.0033,24.7314,68.09,37,100,7.49,overcast clouds
5,Senno,RU,59.5336,33.9167,42.26,85,16,8.84,few clouds
6,Pyinmana,MM,19.7333,96.2167,99.32,28,2,9.01,clear sky
7,Avarua,CK,-21.2078,-159.775,77.05,53,20,9.22,few clouds
8,Atlantic Beach,US,30.3344,-81.3987,71.71,62,75,19.57,broken clouds
9,El Sauzal,MX,31.9,-116.6833,58.42,82,0,7.61,clear sky
10,Saint-Philippe,RE,-21.3585,55.7679,81.21,83,58,7.25,broken clouds
11,Tuktoyaktuk,CA,69.4541,-133.0374,5.0,85,20,6.91,few clouds
12,Puerto Ayora,EC,-0.7393,-90.3518,72.99,95,68,5.53,broken clouds
13,Kaitangata,NZ,-46.2817,169.8464,53.46,92,96,1.25,light rain
14,Arnedo,ES,42.2167,-2.1,44.1,87,98,12.66,overcast clouds
15,Busselton,AU,-33.65,115.3333,72.88,42,0,9.57,clear sky
16,Mehamn,NO,71.0357,27.8492,40.95,81,75,6.91,broken clouds
17,Rikitea,PF,-23.1203,-134.9692,79.09,68,40,19.77,scattered clouds
18,Vaini,TO,-21.2,-175.2,82.56,83,40,11.5,scattered clouds
19,Vao,NC,-22.6667,167.4833,75.87,65,0,10.47,clear sky
20,Georgetown,MY,5.4112,100.3354,87.75,70,20,6.91,few clouds
21,Atuona,PF,-9.8,-139.0333,79.2,78,22,15.66,few clouds
22,Labuhan,ID,-6.8844,112.2051,84.65,71,89,6.73,overcast clouds
23,New Norfolk,AU,-42.7826,147.0587,57.65,42,81,1.99,broken clouds
24,Linxia,CN,35.6003,103.2064,66.15,15,32,6.62,scattered clouds
25,Vanimo,PG,-2.6741,141.3028,76.5,95,100,2.06,overcast clouds
26,Safaga,EG,26.7292,33.9365,69.46,40,36,17.9,scattered clouds
27,Kaniama,CD,-7.5667,24.1833,66.67,98,100,2.8,light rain
28,Olafsvik,IS,64.8945,-23.7142,45.72,88,100,5.37,overcast clouds
29,Tilichiki,RU,60.4667,166.1,23.29,81,8,3.83,clear sky
30,San Patricio,US,28.017,-97.5169,76.86,92,7,14.05,clear sky
31,Ushuaia,AR,-54.8,-68.3,42.46,70,40,26.46,scattered clouds
